Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
216,359.401739,56.658824,359.401772,56.659210,617,142,617.100,143.423,1,+39477.3,1.0000,+913.967,adu,-11.4909,+0.0251,1,E,7014.430176,6992.973858,7077.508395,7012.087402,7081.448878,0.000000,236.470945,74.628711,6,6,6,0,9,15,113.84,0,446,3.83,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
217,359.481007,56.659805,359.480746,56.659986,778,142,777.484,142.679,1,+20552.9,1.0000,+531.505,adu,-10.7822,+0.0281,1,E,6977.648926,6967.849194,6980.712402,6989.719727,6980.853627,0.000000,44.452758,42.919814,6,6,6,0,9,15,113.84,0,457,3.98,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
218,359.507092,56.660388,359.506955,56.660303,831,143,830.715,142.694,1,+12709.2,1.0000,+1026.77,adu,-10.2603,+0.0877,1,E,6994.427734,6987.209216,7147.020621,6985.232910,7170.588190,0.000000,581.533379,85.470410,6,6,6,0,9,15,113.84,0,451,4.22,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
219,359.350454,56.660060,359.355923,56.660099,513,149,524.105,148.878,1,+3.09087e+06,1.0000,+5893.33,adu,-16.2252,+0.0021,1,E,7270.289551,7114.248688,7846.613443,7002.223145,8051.252430,0.000000,1805.727135,470.446924,6,6,6,0,9,15,113.84,0,445,1.22,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
220,359.368237,56.658936,359.368459,56.659069,549,144,549.462,144.481,1,+17658.7,1.0000,+760.155,adu,-10.6174,+0.0467,1,E,7016.221191,7016.835664,7032.122930,7005.442383,7032.699673,0.000000,90.165019,62.709629,6,6,6,0,9,15,113.84,0,453,3.59,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
221,359.177678,56.657134,359.177798,56.657166,162,147,162.246,147.113,1,+33949.2,1.0000,+594.394,adu,-11.3271,+0.0190,1,E,7007.701172,7002.716011,7008.719349,6996.020508,7008.933115,0.000000,54.801286,47.306426,6,6,6,0,9,15,113.84,0,449,3.84,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
222,359.395785,56.659833,359.395772,56.659993,605,146,604.986,146.594,1,+74883.4,1.0000,+3130.58,adu,-12.1860,+0.0454,1,E,7072.916748,7011.503219,7327.220452,7010.788086,7366.724782,0.000000,762.744315,260.884326,6,6,6,0,9,15,113.84,0,446,4.06,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
223,359.551868,56.661724,359.551703,56.661613,922,146,921.657,145.600,1,+8592.91,1.0000,+1067.36,adu,-9.8354,+0.1349,1,E,6999.852783,6988.471221,7033.266280,6979.543945,7034.330635,0.000000,122.500012,89.032227,6,6,6,0,9,15,113.84,0,450,3.41,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
224,359.326330,56.659741,359.326751,56.659868,464,149,464.867,149.447,1,+245694,1.0000,+1420.25,adu,-13.4760,+0.0063,1,E,7045.379883,7026.486974,7173.075582,7004.122070,7187.297854,0.000000,452.433527,111.339687,6,6,6,0,9,15,113.84,0,446,4.06,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
225,359.298759,56.659372,359.303196,56.659651,408,149,417.033,149.808,1,+147527,1.0000,+2027.27,adu,-12.9222,+0.0149,1,E,7068.623535,7046.555340,7227.222997,7006.098145,7241.934503,0.000000,461.880969,166.780205,6,6,6,0,9,15,113.84,0,453,4.03,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
226,359.303190,56.659432,359.303199,56.659654,417,149,417.039,149.821,1,+147539,1.0000,+2027.27,adu,-12.9223,+0.0149,1,E,7068.623535,7046.555340,7227.222997,7005.791992,7241.934503,0.000000,461.880969,166.780205,6,6,6,0,9,15,113.84,0,453,1.13,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
227,359.389339,56.660835,359.389355,56.661027,592,150,592.049,150.709,1,+316300,1.0000,+2880.07,adu,-13.7502,+0.0099,1,E,7068.170654,7014.144628,7237.950293,7008.879395,7251.307480,0.000000,440.425463,236.074453,6,6,6,0,9,15,113.84,0,442,4.03,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
228,359.444988,56.661263,359.445039,56.661387,705,149,705.115,149.456,1,+185759,1.0000,+1383.28,adu,-13.1724,+0.0081,1,E,7035.004639,7036.208847,7124.527882,7001.414063,7129.909179,0.000000,277.274770,109.855967,6,6,6,0,9,15,113.84,0,442,3.95,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
229,359.335192,56.659859,359.330763,56.660879,482,149,473.100,152.979,1,+231190,1.0000,+2022.94,adu,-13.4099,+0.0095,1,E,7079.968262,7054.856220,7231.040519,7003.424316,7247.638901,0.000000,490.773976,164.489707,6,6,6,0,9,15,113.84,0,449,3.78,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
230,359.613862,56.663776,359.613863,56.664028,1048,151,1048.021,151.931,1,+26496.5,1.0000,+825.718,adu,-11.0580,+0.0338,1,E,7001.750000,6960.020174,7039.592180,6983.901855,7041.043493,0.000000,143.112619,67.734766,6,6,6,0,9,15,113.84,0,447,4.27,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
231,359.133347,56.657026,359.132794,56.657204,72,149,70.895,149.690,1,+4142.41,1.0000,+901.827,adu,-9.0431,+0.2364,1,E,7025.196777,7034.673327,7098.247472,6995.766602,7104.890134,0.000000,307.500848,75.317383,6,6,6,0,9,15,113.84,0,450,3.78,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
232,359.157948,56.657660,359.156659,56.659645,122,150,119.579,157.394,1,+30546.9,1.0000,+683.583,adu,-11.2124,+0.0243,1,E,7006.896484,6989.279145,7019.623179,6994.940430,7019.941942,0.000000,66.972493,55.309004,6,6,6,0,9,15,113.84,0,448,3.79,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
233,359.243582,56.659427,359.243907,56.659450,296,152,296.663,152.068,1,+113606,1.0000,+652.222,adu,-12.6385,+0.0062,1,E,7004.921387,7007.344172,7006.590008,7005.644531,7006.770004,0.000000,50.278623,46.784414,6,6,6,0,9,15,113.84,0,453,4.11,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
234,359.423816,56.661000,359.424227,56.660890,662,149,662.827,148.576,1,+17905.2,1.0000,+2137.10,adu,-10.6325,+0.1296,1,E,7038.494141,6989.738175,7224.216969,7010.533203,7246.337896,0.000000,566.406755,178.548047,6,6,6,0,9,15,113.84,0,449,4.34,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
235,359.494708,56.662138,359.495026,56.662164,806,150,806.647,150.081,1,+20790.2,1.0000,+590.101,adu,-10.7946,+0.0308,1,E,6987.154785,6953.721752,6994.608672,6987.428711,6994.906860,0.000000,64.659666,47.868164,6,6,6,0,9,15,113.84,0,446,1.25,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
236,359.414930,56.661430,359.415182,56.661439,644,151,644.512,151.019,1,+59575.0,1.0000,+647.214,adu,-11.9377,+0.0118,1,E,7002.362793,6967.685847,7004.640399,7014.547852,7004.824919,0.000000,50.898970,50.256709,6,6,6,0,9,15,113.84,0,456,4.10,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
237,359.450360,56.662414,359.450166,56.662485,716,153,715.613,153.273,1,+86916.8,1.0000,+2702.61,adu,-12.3478,+0.0338,1,E,7044.109863,7003.778941,7284.934125,6998.594238,7315.412199,0.000000,667.825135,224.735801,6,6,6,0,9,15,113.84,0,446,1.11,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
238,359.537977,56.664274,359.538038,56.664382,894,156,894.133,156.397,1,+493011,1.0000,+917.294,adu,-14.2321,+0.0020,1,E,6995.940674,7001.356084,6999.199872,6983.894043,6999.389531,0.000000,51.582573,49.510518,6,6,6,0,9,15,113.84,0,458,4.00,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
239,359.282956,56.660242,359.283074,56.660099,376,153,376.227,152.468,1,+23077.3,1.0000,+664.170,adu,-10.9080,+0.0312,1,E,7005.745117,7029.177120,7020.828774,7007.513672,7021.358458,0.000000,86.340724,54.063057,6,6,6,0,9,15,113.84,0,444,3.85,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
240,359.489762,56.662621,359.489901,56.662779,796,152,796.294,152.575,1,+16335.5,1.0000,+574.801,adu,-10.5328,+0.0382,1,E,6984.641357,6957.781760,6994.772229,6988.178223,6995.105215,0.000000,68.329391,46.880781,6,6,6,0,9,15,113.84,0,446,0.28,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
241,359.331205,56.660891,359.330781,56.660880,474,153,473.138,152.981,1,+231190,1.0000,+2022.94,adu,-13.4099,+0.0095,1,E,7079.968262,7054.856220,7231.040519,7003.810059,7247.638901,0.000000,490.773976,164.489707,6,6,6,0,9,15,113.84,0,449,1.37,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
242,359.123914,56.658512,359.123948,56.658621,53,155,53.081,155.402,1,+18879.6,1.0000,+773.246,adu,-10.6900,+0.0445,1,E,7014.104004,6961.894165,7035.884283,6997.038086,7036.472523,0.000000,91.084582,63.699131,6,6,6,0,9,15,113.84,0,449,4.00,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
243,359.259286,56.660730,359.259226,56.660865,328,156,327.889,156.503,1,+115441,1.0000,+670.785,adu,-12.6559,+0.0063,1,E,7004.869141,7036.880351,7005.981089,7005.831543,7006.149989,0.000000,48.701870,48.469971,6,6,6,0,9,15,113.84,0,454,3.84,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
244,359.546348,56.664371,359.548761,56.665970,911,156,916.021,161.798,1,+88919.0,1.0000,+726.851,adu,-12.3725,+0.0089,1,E,6993.736328,6964.433499,7001.961940,6982.293945,7002.260125,0.000000,64.693643,55.426309,6,6,6,0,9,15,113.84,0,444,4.45,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
245,359.156366,56.659805,359.156685,56.659651,119,158,119.632,157.414,1,+30510.8,1.0000,+683.556,adu,-11.2111,+0.0243,1,E,7006.896484,6989.279145,7019.623179,6995.069336,7019.941942,0.000000,66.972493,55.309004,6,6,6,0,9,15,113.84,0,448,4.00,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
246,359.548748,56.666025,359.548773,56.665972,916,162,916.046,161.803,1,+88913.9,1.0000,+726.848,adu,-12.3724,+0.0089,1,E,6993.736328,6964.433499,7001.961940,6982.744141,7002.260125,0.000000,64.693643,55.426309,6,6,6,0,9,15,113.84,0,444,3.97,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
247,359.378884,56.663411,359.378870,56.663579,571,160,570.987,160.619,1,+227203,1.0000,+847.590,adu,-13.3910,+0.0041,1,E,7036.297607,7039.320866,7060.012950,7004.739746,7061.276176,0.000000,133.709018,58.683105,6,6,6,0,9,15,113.84,0,450,3.97,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
