Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1117,359.552440,56.798126,359.552632,56.798186,934,649,934.393,649.212,1,+43494.4,1.0000,+390.240,adu,-11.5961,+0.0097,1,E,2579.268799,2573.136683,2579.928461,2575.276367,2580.072761,0.000000,27.317183,27.647949,6,6,6,0,9,15,113.84,0,455,4.33,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1118,359.621684,56.797308,359.621552,56.797112,1074,643,1073.718,642.282,1,+3042.85,1.0000,+394.751,adu,-8.7082,+0.1408,1,E,2574.079834,2555.184631,2579.553862,2571.044189,2579.851751,0.000000,39.247163,32.742856,6,6,6,0,9,15,113.84,0,452,10.93,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1119,359.392405,56.794762,359.392239,56.794663,610,644,609.656,643.645,1,+6618.17,1.0000,+385.826,adu,-9.5518,+0.0633,1,E,2563.449951,2556.240286,2564.988091,2569.791504,2565.167664,0.000000,30.385300,31.614014,6,6,6,0,9,15,113.84,0,455,4.21,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1120,359.582121,56.797664,359.582137,56.797846,994,646,994.047,646.670,1,+47489.8,1.0000,+498.199,adu,-11.6915,+0.0114,1,E,2586.752441,2583.811339,2596.817121,2578.659180,2597.365776,0.000000,53.443722,37.469336,6,6,6,0,9,15,113.84,0,445,4.44,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1121,359.441790,56.795946,359.444089,56.797116,710,646,714.752,650.213,1,+10238.6,1.0000,+330.754,adu,-10.0256,+0.0351,1,E,2568.177002,2569.875818,2569.032096,2569.993408,2569.169381,0.000000,26.588459,26.407065,6,6,6,0,9,15,113.84,0,457,3.49,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1122,359.588534,56.798010,359.588584,56.798148,1007,647,1007.111,647.511,1,+18260.4,1.0000,+537.620,adu,-10.6538,+0.0320,1,E,2591.591064,2572.628990,2625.700535,2578.985840,2628.913873,0.000000,130.087958,43.520410,6,6,6,0,9,15,113.84,0,445,4.63,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1123,359.263392,56.794346,359.263342,56.794419,349,649,348.905,649.272,1,+35260.3,1.0000,+377.380,adu,-11.3682,+0.0116,1,E,2560.474609,2550.570923,2561.089644,2565.396973,2561.236679,0.000000,27.474357,27.408691,6,6,6,0,9,15,113.84,0,450,4.22,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1124,359.298939,56.795388,359.299002,56.795529,421,651,421.140,651.514,1,+27827.5,1.0000,+927.510,adu,-11.1112,+0.0362,1,E,2585.719727,2565.437577,2642.876867,2566.291504,2648.566140,0.000000,173.700772,76.342285,6,6,6,0,9,15,113.84,0,447,4.11,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1125,359.499073,56.797479,359.499369,56.797454,826,649,826.596,648.896,1,+18028.0,1.0000,+365.121,adu,-10.6399,+0.0220,1,E,2572.538330,2589.732718,2576.510272,2571.629395,2576.736838,0.000000,34.207274,28.448428,6,6,6,0,9,15,113.84,0,453,4.39,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1126,359.602854,56.798446,359.603121,56.798570,1036,648,1036.549,648.447,1,+3993.01,1.0000,+522.182,adu,-9.0033,+0.1420,1,E,2597.407715,2597.371389,2613.399567,2577.498535,2614.239382,0.000000,66.332544,43.410723,6,6,6,0,9,15,113.84,0,451,3.37,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1127,359.126027,56.792856,359.126301,56.792873,71,651,71.555,651.047,1,+12344.7,1.0000,+555.471,adu,-10.2287,+0.0489,1,E,2582.313110,2581.446807,2602.539302,2563.076416,2604.103498,0.000000,90.345269,45.590005,6,6,6,0,9,15,113.84,0,452,1.18,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
