RAJ2000,DEJ2000,umag,gmag,Teff,Mass
3.083258, -9.7654660, 19.32, 18.97, 9332, 0.752
3.190024, 14.6656750, 18.79, 18.15, 10893, 0.482
3.224709, -1.0138760, 19.31, 18.93, 8729, 0.631
3.275914, 0.9184210, 19.85, 19.38, 11036, 0.571
3.322237, -9.8168270, 19.34, 19.10, 16546, 0.570
3.554317, 0.5855480, 19.61, 19.60, 21622, 0.536
3.564951, -10.5849650, 18.73, 18.29, 9752, 0.747
3.612705, 13.8495540, 18.73, 18.31, 8813, 0.714
3.674768, -0.7668100, 19.43, 19.00, 10048, 0.698
3.703490, 0.3409620, 19.33, 18.91, 8848, 0.582
3.828671, 13.8924750, 17.69, 17.27, 8475, 0.619
3.873949, 1.0892710, 18.73, 18.95, 33894, 0.600
3.954941, 1.1113560, 20.69, 20.35, 7566, 0.775
3.983712, -0.0875520, 18.71, 18.25, 9162, 0.626
4.020723, -1.1074760, 19.63, 19.47, 18136, 0.554
4.072904, -0.5505090, 20.13, 19.66, 7546, 0.506
4.121044, -0.7474780, 18.70, 18.24, 9385, 0.673
4.180646, 15.4030360, 18.88, 18.48, 7971, 0.647
4.227829, 15.2422590, 19.49, 18.97, 11949, 0.666
4.231230, -0.9346010, 18.00, 17.68, 15633, 0.563
4.315924, 1.2197830, 19.48, 19.12, 14016, 1.016
4.377567, 0.7067840, 18.90, 18.91, 21566, 0.382
4.387201, -9.7824520, 19.22, 19.17, 20939, 0.594
4.440746, -0.6778860, 19.26, 19.20, 19310, 0.487
4.446505, 15.8678950, 19.49, 18.98, 11640, 0.701
4.485506, -9.2425770, 19.76, 19.91, 24395, 0.660
4.570984, 14.9168100, 19.97, 19.51, 11400, 0.659
4.650462, 0.5308750, 17.82, 17.38, 11640, 0.599
4.660625, 0.9954200, 19.58, 19.61, 22291, 0.504
4.840398, 14.6848220, 19.60, 19.16, 7863, 0.725
4.866081, -1.1508550, 19.83, 19.45, 8582, 0.999
4.952563, 0.2826030, 20.02, 20.09, 25913, 0.471
5.167117, 0.1851570, 19.17, 18.60, 6975, 0.519
5.205773, 0.7430770, 17.03, 16.79, 8862, 0.979
5.279294, -0.5047500, 19.14, 18.76, 15814, 0.521
5.289778, -0.4219900, 19.65, 19.16, 10246, 0.899
5.342265, 0.2916560, 18.88, 18.89, 23024, 0.562
5.361210, -9.6205980, 18.49, 18.35, 18489, 0.574
