RAJ2000,DEJ2000,umag,gmag,Teff,Mass
2.746809,-9.388480,20.10,19.51,11418,0.400
2.756000,0.737641,20.33,19.87,10737,0.647
2.787161,0.395780,20.94,20.34,13820,0.647
2.791735,-0.256382,19.60,19.36,16546,0.498
2.801754,15.869282,19.17,19.25,29032,0.439
2.905528,-10.419195,19.04,19.37,34403,0.475
2.950836,-9.352859,18.12,17.72,12347,0.595
3.015630,-10.358587,20.60,20.28,9283,0.784
3.025155,-10.501397,19.79,19.90,19452,0.800
3.083258,-9.765466,19.32,18.97,9332,0.752
3.190024,14.665675,18.79,18.15,10893,0.482
3.196588,0.180203,20.69,20.19,6300,
3.196588,0.180203,20.69,20.19,6300,
3.224709,-1.013876,19.31,18.93,9145,
3.224709,-1.013876,19.31,18.93,8729,0.631
3.275914,0.918421,19.85,19.38,11036,0.571
3.322237,-9.816827,19.34,19.10,16546,0.570
3.351392,-8.839291,19.73,19.75,6318,
3.412942,0.323582,0.00,,9465,
3.412942,0.323582,0.00,,9444,
3.412942,0.323582,0.00,,9415,
3.413334,0.323419,15.77,15.37,9419,
3.497493,-11.144057,18.30,18.42,65370,
3.554317,0.585548,19.61,19.60,21622,0.536
3.564951,-10.584965,18.73,18.29,9752,0.747
3.612705,13.849554,18.73,18.31,8813,0.714
3.674768,-0.766810,19.43,19.00,10048,0.698
3.703490,0.340962,19.33,18.91,9040,
3.703490,0.340962,19.33,18.91,8848,0.582
3.828671,13.892475,17.69,17.27,8475,0.619
3.873949,1.089271,18.73,18.95,33894,0.600
3.954276,1.160362,21.24,20.88,6306,
3.954941,1.111356,20.69,20.35,7566,0.775
3.983712,-0.087552,18.71,18.25,9162,0.626
4.020723,-1.107476,19.63,19.47,18136,0.554
4.072904,-0.550509,20.13,19.66,7546,0.506
4.121044,-0.747478,18.70,18.24,9385,0.673
4.180646,15.403036,18.88,18.48,7971,0.647
4.214236,-1.224801,16.03,16.56,100000,
4.227829,15.242259,19.49,18.97,11949,0.666
4.231230,-0.934601,18.00,17.68,15633,0.563
4.236584,-0.026758,19.28,19.06,10553,
4.315924,1.219783,19.48,19.12,14016,1.016
4.360985,-0.414219,19.66,19.27,6306,
4.360986,-0.414223,19.66,19.27,6301,
4.377567,0.706784,18.90,18.91,21566,0.382
4.387201,-9.782452,19.22,19.17,20939,0.594
4.403783,14.850532,18.80,18.33,6300,
4.426823,0.693724,16.86,16.92,12600,
4.440746,-0.677886,19.26,19.20,19310,0.487
4.446505,15.867895,19.49,18.98,11640,0.701
4.455190,-0.165387,16.59,16.88,10108,
4.455190,-0.165387,16.59,16.88,10108,
4.485506,-9.242577,19.76,19.91,24395,0.660
4.570984,14.916810,19.97,19.51,11400,0.659
4.629009,-9.945701,14.93,15.03,15604,
4.650462,0.530875,17.82,17.38,11640,0.599
4.660625,0.995420,19.58,19.61,22291,0.504
4.666697,34.698419,0.00,,7297,0.493
4.705988,-0.201308,18.53,18.38,10586,
4.705988,-0.201308,18.53,18.38,10520,
4.724146,0.839313,21.01,20.36,6300,
4.784040,14.240800,18.35,18.03,10114,
4.840398,14.684822,19.60,19.16,7863,0.725
4.866081,-1.150855,19.83,19.45,8582,0.999
4.952563,0.282603,20.02,20.09,25913,0.471
5.007560,13.879989,15.08,15.19,18543,
5.028281,0.804961,20.18,19.63,6713,
5.167117,0.185157,19.17,18.60,6898,
5.167117,0.185157,19.17,18.60,6975,0.519
5.167117,0.185157,19.17,18.60,7024,
5.205773,0.743077,17.03,16.79,8894,
5.205773,0.743077,17.03,16.79,8862,0.979
5.205773,0.743077,17.03,16.79,8807,
5.279294,-0.504750,19.14,18.76,15814,0.521
5.289778,-0.421990,19.65,19.16,10246,0.899
5.342265,0.291656,18.88,18.89,22331,
5.342265,0.291656,18.88,18.89,23024,0.562
5.361196,-9.620591,18.49,18.35,18347,
5.361210,-9.620598,18.49,18.35,18489,0.574
5.369156,15.039930,18.67,18.17,6301,
5.460725,-0.941606,19.97,20.09,16667,0.495
5.491286,-11.058787,19.23,18.55,6380,
5.510356,-0.637416,18.68,18.77,15884,0.854
5.531883,-10.239859,19.91,19.78,19657,
5.531893,-10.239877,19.91,19.78,21493,0.415
5.560539,1.089290,19.56,19.11,11308,0.695
5.599716,-0.056675,19.64,19.91,30490,
5.618529,0.520980,19.71,19.23,17079,0.276
5.663510,-0.395072,19.23,18.86,14322,0.472
5.696315,15.475529,19.81,19.86,18947,0.532
5.700130,0.708073,20.90,20.31,6992,0.219
5.763269,-0.798827,20.59,20.14,8085,0.508
5.773192,-10.327624,20.52,20.28,17622,
5.773195,-10.327655,20.52,20.28,20282,0.583
5.787645,-0.561697,16.54,16.27,15990,0.651
5.843538,15.003206,18.90,18.80,11028,
5.904213,15.908001,20.19,19.81,13567,0.759
6.118526,-10.412106,18.88,18.67,16612,
6.126116,-9.148579,17.53,17.47,21266,
6.126121,-9.148595,17.53,17.47,21603,0.601
6.196466,15.243044,19.07,19.01,24336,0.526
6.211428,0.319701,20.01,19.62,9370,0.847
6.229020,-11.128698,19.72,19.32,14137,0.569
6.229052,-11.128669,19.72,19.32,13523,
6.289293,-10.680048,19.77,19.48,16998,0.515
